label,clean_text
ham,GO JURONG POINT CRAZY AVAILABLE BUGIS N GREAT WORLD LA E BUFFET CINE GOT AMORE WAT
ham,OK LAR JOKING WIF U ONI
spam,FREE ENTRY 2 WKLY COMP WIN FA CUP FINAL TKTS 21ST MAY 2005 TEXT FA 87121 RECEIVE ENTRY QUESTION STD TXT RATE C APPLY 08452810075OVER18
ham,U DUN SAY EARLY HOR U C ALREADY SAY
ham,NAH THINK GOES USF LIVES AROUND THOUGH
spam,FREEMSG HEY DARLING 3 WEEK WORD BACK LIKE FUN STILL TB OK XXX STD CHGS SEND 1 50 RCV
ham,EVEN BROTHER LIKE SPEAK TREAT LIKE AIDS PATENT
ham,PER REQUEST MELLE MELLE ORU MINNAMINUNGINTE NURUNGU VETTAM SET CALLERTUNE CALLERS PRESS 9 COPY FRIENDS CALLERTUNE
spam,WINNER VALUED NETWORK CUSTOMER SELECTED RECEIVEA 900 PRIZE REWARD CLAIM CALL 09061701461 CLAIM CODE KL341 VALID 12 HOURS
spam,MOBILE 11 MONTHS U R ENTITLED UPDATE LATEST COLOUR MOBILES CAMERA FREE CALL MOBILE UPDATE CO FREE 08002986030
ham,GONNA HOME SOON WANT TALK STUFF ANYMORE TONIGHT K CRIED ENOUGH TODAY
spam,SIX CHANCES WIN CASH 100 20 000 POUNDS TXT CSH11 SEND 87575 COST 150P DAY 6DAYS 16 TSANDCS APPLY REPLY HL 4 INFO
spam,URGENT 1 WEEK FREE MEMBERSHIP 100 000 PRIZE JACKPOT TXT WORD CLAIM 81010 C WWW DBUK NET LCCLTD POBOX 4403LDNW1A7RW18
ham,SEARCHING RIGHT WORDS THANK BREATHER PROMISE WONT TAKE HELP GRANTED FULFIL PROMISE WONDERFUL BLESSING TIMES
ham,DATE SUNDAY
spam,XXXMOBILEMOVIECLUB USE CREDIT CLICK WAP LINK NEXT TXT MESSAGE CLICK HTTP WAP XXXMOBILEMOVIECLUB COM N QJKGIGHJJGCBL
ham,OH K WATCHING
ham,EH U REMEMBER 2 SPELL NAME YES V NAUGHTY MAKE V WET
ham,FINE WAY U FEEL WAY GOTA B
spam,ENGLAND V MACEDONIA DONT MISS GOALS TEAM NEWS TXT UR NATIONAL TEAM 87077 EG ENGLAND 87077 TRY WALES SCOTLAND 4TXT 1 20 POBOXOX36504W45WQ 16
ham,SERIOUSLY SPELL NAME
ham,GOING TRY 2 MONTHS HA HA JOKING
ham,PAY FIRST LAR DA STOCK COMIN
ham,AFT FINISH LUNCH GO STR LOR ARD 3 SMTH LOR U FINISH UR LUNCH ALREADY
ham,FFFFFFFFFF ALRIGHT WAY MEET SOONER
ham,FORCED EAT SLICE REALLY HUNGRY THO SUCKS MARK GETTING WORRIED KNOWS SICK TURN PIZZA LOL
ham,LOL ALWAYS CONVINCING
ham,CATCH BUS FRYING EGG MAKE TEA EATING MOM LEFT DINNER FEEL LOVE
ham,BACK AMP PACKING CAR LET KNOW ROOM
ham,AHHH WORK VAGUELY REMEMBER FEEL LIKE LOL
ham,WAIT STILL CLEAR SURE SARCASTIC X WANT LIVE US
ham,YEAH GOT 2 V APOLOGETIC N FALLEN ACTIN LIKE SPOILT CHILD GOT CAUGHT TILL 2 GO BADLY CHEERS
ham,K TELL ANYTHING
ham,FEAR FAINTING HOUSEWORK QUICK CUPPA
spam,THANKS SUBSCRIPTION RINGTONE UK MOBILE CHARGED 5 MONTH PLEASE CONFIRM REPLYING YES REPLY CHARGED
ham,YUP OK GO HOME LOOK TIMINGS MSG XUHUI GOING LEARN 2ND MAY LESSON 8AM
ham,OOPS LET KNOW ROOMMATE DONE
ham,SEE LETTER B CAR
ham,ANYTHING LOR U DECIDE
ham,HELLO SATURDAY GO TEXTING SEE DECIDED ANYTHING TOMO TRYING INVITE ANYTHING
ham,PLS GO AHEAD WATTS WANTED SURE GREAT WEEKEND ABIOLA
ham,FORGET TELL WANT NEED CRAVE LOVE SWEET ARABIAN STEED MMMMMM YUMMY
spam,07732584351 RODGER BURNS MSG TRIED CALL REPLY SMS FREE NOKIA MOBILE FREE CAMCORDER PLEASE CALL 08000930705 DELIVERY TOMORROW
ham,SEEING
ham,GREAT HOPE LIKE MAN WELL ENDOWED LT GT INCHES
ham,CALLS MESSAGES MISSED CALLS
ham,GET HEP B IMMUNISATION NIGERIA
ham,FAIR ENOUGH ANYTHING GOING
ham,YEAH HOPEFULLY TYLER COULD MAYBE ASK AROUND BIT
ham,U KNOW STUBBORN EVEN WANT GO HOSPITAL KEPT TELLING MARK WEAK SUCKER HOSPITALS WEAK SUCKERS
ham,THINKED FIRST TIME SAW CLASS
ham,GRAM USUALLY RUNS LIKE LT GT HALF EIGHTH SMARTER THOUGH GETS ALMOST WHOLE SECOND GRAM LT GT
ham,K FYI X RIDE EARLY TOMORROW MORNING CRASHING PLACE TONIGHT
ham,WOW NEVER REALIZED EMBARASSED ACCOMODATIONS THOUGHT LIKED SINCE BEST COULD ALWAYS SEEMED HAPPY CAVE SORRY GIVE SORRY OFFERED SORRY ROOM EMBARASSING
spam,SMS AC SPTV NEW JERSEY DEVILS DETROIT RED WINGS PLAY ICE HOCKEY CORRECT INCORRECT END REPLY END SPTV
ham,KNOW MALLIKA SHERAWAT YESTERDAY FIND LT URL GT
spam,CONGRATS 1 YEAR SPECIAL CINEMA PASS 2 CALL 09061209465 C SUPRMAN V MATRIX3 STARWARS3 ETC 4 FREE BX420 IP4 5WE 150PM DONT MISS
ham,SORRY CALL LATER MEETING
ham,TELL REACHED
ham,YES GAUTI SEHWAG ODI SERIES
